Vehicle_ID,Frame_ID,Local_X,Local_Y,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Scenario,Lane_Change_Frame,Source_La,Target_La,Changing_Time_Offs,SL_Leading_ID,SL_Leading_Local_X,SL_Leading_Local_Y,SL_Leading_Speed_X,SL_Leading_Speed_Y,SL_Following_ID,SL_Following_Local_X,SL_Following_Local_Y,SL_Following_Speed_X,SL_Following_Speed_Y,TL_Leading_ID,TL_Leading_Local_X,TL_Leading_Local_Y,TL_Leading_Speed_X,TL_Leading_Speed_Y,TL_Following_ID,TL_Following_Local_X,TL_Following_Local_Y,TL_Following_Speed_X,TL_Following_Speed_Y,PET,TTC,MTTC,FL_TTC,Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame
27,38,3529.7,25.268,3.4643,-0.75,5.2,2.1,-13.496,3,2,73,2,1,-3.5,43.0,3641.3,21.893,3.5,-1.1786,,,,,,47.0,3769.1,17.679,4.8571,-2.0,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,39,3533.1,25.193,3.3214,-0.82143,5.2,2.1,-13.496,3,2,73,2,1,-3.4,,,,,,,,,,,43.0,3644.8,21.775,3.4643,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,40,3536.5,25.111,3.3929,-0.85714,5.2,2.1,-13.77,2,2,73,2,1,-3.3,,,,,,,,,,,43.0,3648.2,21.654,3.7143,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,41,3539.9,25.025,3.3214,-0.78571,5.2,2.1,-14.31,2,2,73,2,1,-3.2,,,,,,,,,,,43.0,3652.0,21.532,3.7857,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,42,3543.2,24.946,3.1786,-0.78571,5.2,2.1,-15.108,2,2,73,2,1,-3.1,,,,,,,,,,,43.0,3655.8,21.411,3.75,-1.1429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,43,3546.4,24.868000000000002,3.3214,-0.89286,5.2,2.1,-13.496,2,2,73,2,1,-3.0,,,,,,,,,,,43.0,3659.5,21.296,3.9286,-1.2857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,44,3549.7,24.779,3.2143,-0.82143,5.2,2.1,-14.859,2,2,73,2,1,-2.9,,,,,,,,,,,43.0,3663.4,21.168,3.8571,-1.2857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,45,3552.9,24.696,3.1429,-0.92857,5.2,2.1,-14.437,2,2,73,2,1,-2.8,,,,,,,,,,,43.0,3667.3,21.038999999999998,4.0,-1.25,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,46,3556.0,24.604,3.1786,-0.85714,5.2,2.1,-14.437,2,2,73,2,1,-2.7,,,,,,,,,,,43.0,3671.3,20.913999999999998,4.0714,-1.3214,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,47,3559.2,24.518,3.1071,-0.92857,5.2,2.1,-14.716,2,2,73,2,1,-2.6,,,,,,,,,,,43.0,3675.4,20.782,3.9643,-1.4286,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
