1,0,181
1,20.804,180.96
1,41.608,180.92
1,62.412,180.88
1,83.216,180.84
1,104.02,180.8
1,124.82,180.76
1,145.63,180.72
1,166.43,180.68
1,187.24,180.64
1,208.04,180.6
1,228.84,180.56
1,249.65,180.52
1,270.45,180.48
1,291.26,180.44
1,312.06,180.4
1,332.86,180.36
1,353.67,180.32
1,374.47,180.28
1,395.28,180.24
1,416.08,180.2
1,436.88,180.16
1,457.69,180.12
1,478.49,180.08
1,499.3,180.04
1,520.1,179.99
1,540.9,179.95
1,561.71,179.91
1,582.51,179.87
1,603.32,179.83
1,624.12,179.79
1,644.92,179.75
1,665.73,179.71
1,686.53,179.67
1,707.34,179.63
1,728.14,179.59
1,748.94,179.55
1,769.75,179.51
1,790.55,179.47
1,811.36,179.43
1,832.16,179.39
1,852.96,179.35
1,873.77,179.31
1,894.57,179.27
1,915.38,179.23
1,936.18,179.19
1,956.98,179.15
1,977.79,179.11
1,998.59,179.07
1,1019.4,179.03
1,1040.2,178.99
1,1061,178.95
1,1081.8,178.91
1,1102.6,178.87
1,1123.4,178.83
1,1144.2,178.79
1,1165,178.75
1,1185.8,178.71
1,1206.6,178.67
1,1227.4,178.63
1,1248.2,178.59
1,1269,178.55
1,1289.8,178.51
1,1310.7,178.47
1,1331.5,178.43
1,1352.3,178.39
1,1373.1,178.35
1,1393.9,178.31
1,1414.7,178.27
1,1435.5,178.23
1,1456.3,178.19
1,1477.1,178.15
1,1497.9,178.11
1,1518.7,178.07
1,1539.5,178.03
1,1560.3,177.98
1,1581.1,177.94
1,1601.9,177.9
1,1622.7,177.86
1,1643.5,177.82
1,1664.3,177.78
1,1685.1,177.74
1,1705.9,177.7
1,1726.7,177.66
1,1747.5,177.62
1,1768.3,177.58
1,1789.1,177.54
1,1809.9,177.5
1,1830.8,177.46
1,1851.6,177.42
1,1872.4,177.38
1,1893.2,177.34
1,1914,177.3
1,1934.8,177.26
1,1955.6,177.22
1,1976.4,177.18
1,1997.2,177.14
1,2018,177.1
1,2038.8,177.06
1,2059.6,177.02
1,2080.4,176.98
1,2101.2,176.94
1,2122,176.9
1,2142.8,176.86
1,2163.6,176.82
1,2184.4,176.78
1,2205.2,176.74
1,2226,176.7
1,2246.8,176.66
1,2267.6,176.62
1,2288.4,176.58
1,2309.2,176.54
1,2330.1,176.5
1,2350.9,176.46
1,2371.7,176.42
1,2392.5,176.38
1,2413.3,176.34
1,2434.1,176.3
1,2454.9,176.26
1,2475.7,176.22
1,2496.5,176.18
1,2517.3,176.14
1,2538.1,176.1
1,2558.9,176.06
1,2579.7,176.02
1,2600.5,175.97
1,2621.3,175.93
1,2642.1,175.89
1,2662.9,175.85
1,2683.7,175.81
1,2704.5,175.77
1,2725.3,175.73
1,2746.1,175.69
1,2766.9,175.65
1,2787.7,175.61
1,2808.5,175.57
1,2829.3,175.53
1,2850.2,175.49
1,2871,175.45
1,2891.8,175.41
1,2912.6,175.37
1,2933.4,175.33
1,2954.2,175.29
1,2975,175.25
1,2995.8,175.21
1,3016.6,175.17
1,3037.4,175.13
1,3058.2,175.09
1,3079,175.05
1,3099.8,175.01
1,3120.6,174.97
1,3141.4,174.93
1,3162.2,174.89
1,3183,174.85
1,3203.8,174.81
1,3224.6,174.77
1,3245.4,174.73
1,3266.2,174.69
1,3287,174.65
1,3307.8,174.61
1,3328.6,174.57
1,3349.4,174.53
1,3370.3,174.49
1,3391.1,174.45
1,3411.9,174.41
1,3432.7,174.37
1,3453.5,174.33
1,3474.3,174.29
1,3495.1,174.25
1,3515.9,174.21
1,3536.7,174.17
1,3557.5,174.13
1,3578.3,174.09
1,3599.1,174.05
1,3619.9,174.01
1,3640.7,173.96
1,3661.5,173.92
1,3682.3,173.88
1,3703.1,173.84
1,3723.9,173.8
1,3744.7,173.76
1,3765.5,173.72
1,3786.3,173.68
1,3807.1,173.64
1,3827.9,173.6
1,3848.7,173.56
1,3869.5,173.52
1,3890.4,173.48
1,3911.2,173.44
1,3932,173.4
1,3952.8,173.36
1,3973.6,173.32
1,3994.4,173.28
1,4015.2,173.24
1,4036,173.2
1,4056.8,173.16
1,4077.6,173.12
1,4098.4,173.08
1,4119.2,173.04
1,4140,173
2,0,219
2,20.804,218.98
2,41.608,218.96
2,62.412,218.94
2,83.216,218.92
2,104.02,218.9
2,124.82,218.88
2,145.63,218.86
2,166.43,218.84
2,187.24,218.82
2,208.04,218.8
2,228.84,218.78
2,249.65,218.76
2,270.45,218.74
2,291.26,218.72
2,312.06,218.7
2,332.86,218.68
2,353.67,218.66
2,374.47,218.64
2,395.28,218.62
2,416.08,218.6
2,436.88,218.58
2,457.69,218.56
2,478.49,218.54
2,499.3,218.52
2,520.1,218.5
2,540.9,218.48
2,561.71,218.46
2,582.51,218.44
2,603.32,218.42
2,624.12,218.4
2,644.92,218.38
2,665.73,218.36
2,686.53,218.34
2,707.34,218.32
2,728.14,218.3
2,748.94,218.28
2,769.75,218.26
2,790.55,218.24
2,811.36,218.22
2,832.16,218.2
2,852.96,218.18
2,873.77,218.16
2,894.57,218.14
2,915.38,218.12
2,936.18,218.1
2,956.98,218.08
2,977.79,218.06
2,998.59,218.04
2,1019.4,218.02
2,1040.2,217.99
2,1061,217.97
2,1081.8,217.95
2,1102.6,217.93
2,1123.4,217.91
2,1144.2,217.89
2,1165,217.87
2,1185.8,217.85
2,1206.6,217.83
2,1227.4,217.81
2,1248.2,217.79
2,1269,217.77
2,1289.8,217.75
2,1310.7,217.73
2,1331.5,217.71
2,1352.3,217.69
2,1373.1,217.67
2,1393.9,217.65
2,1414.7,217.63
2,1435.5,217.61
2,1456.3,217.59
2,1477.1,217.57
2,1497.9,217.55
2,1518.7,217.53
2,1539.5,217.51
2,1560.3,217.49
2,1581.1,217.47
2,1601.9,217.45
2,1622.7,217.43
2,1643.5,217.41
2,1664.3,217.39
2,1685.1,217.37
2,1705.9,217.35
2,1726.7,217.33
2,1747.5,217.31
2,1768.3,217.29
2,1789.1,217.27
2,1809.9,217.25
2,1830.8,217.23
2,1851.6,217.21
2,1872.4,217.19
2,1893.2,217.17
2,1914,217.15
2,1934.8,217.13
2,1955.6,217.11
2,1976.4,217.09
2,1997.2,217.07
2,2018,217.05
2,2038.8,217.03
2,2059.6,217.01
2,2080.4,216.99
2,2101.2,216.97
2,2122,216.95
2,2142.8,216.93
2,2163.6,216.91
2,2184.4,216.89
2,2205.2,216.87
2,2226,216.85
2,2246.8,216.83
2,2267.6,216.81
2,2288.4,216.79
2,2309.2,216.77
2,2330.1,216.75
2,2350.9,216.73
2,2371.7,216.71
2,2392.5,216.69
2,2413.3,216.67
2,2434.1,216.65
2,2454.9,216.63
2,2475.7,216.61
2,2496.5,216.59
2,2517.3,216.57
2,2538.1,216.55
2,2558.9,216.53
2,2579.7,216.51
2,2600.5,216.49
2,2621.3,216.47
2,2642.1,216.45
2,2662.9,216.43
2,2683.7,216.41
2,2704.5,216.39
2,2725.3,216.37
2,2746.1,216.35
2,2766.9,216.33
2,2787.7,216.31
2,2808.5,216.29
2,2829.3,216.27
2,2850.2,216.25
2,2871,216.23
2,2891.8,216.21
2,2912.6,216.19
2,2933.4,216.17
2,2954.2,216.15
2,2975,216.13
2,2995.8,216.11
2,3016.6,216.09
2,3037.4,216.07
2,3058.2,216.05
2,3079,216.03
2,3099.8,216.01
2,3120.6,215.98
2,3141.4,215.96
2,3162.2,215.94
2,3183,215.92
2,3203.8,215.9
2,3224.6,215.88
2,3245.4,215.86
2,3266.2,215.84
2,3287,215.82
2,3307.8,215.8
2,3328.6,215.78
2,3349.4,215.76
2,3370.3,215.74
2,3391.1,215.72
2,3411.9,215.7
2,3432.7,215.68
2,3453.5,215.66
2,3474.3,215.64
2,3495.1,215.62
2,3515.9,215.6
2,3536.7,215.58
2,3557.5,215.56
2,3578.3,215.54
2,3599.1,215.52
2,3619.9,215.5
2,3640.7,215.48
2,3661.5,215.46
2,3682.3,215.44
2,3703.1,215.42
2,3723.9,215.4
2,3744.7,215.38
2,3765.5,215.36
2,3786.3,215.34
2,3807.1,215.32
2,3827.9,215.3
2,3848.7,215.28
2,3869.5,215.26
2,3890.4,215.24
2,3911.2,215.22
2,3932,215.2
2,3952.8,215.18
2,3973.6,215.16
2,3994.4,215.14
2,4015.2,215.12
2,4036,215.1
2,4056.8,215.08
2,4077.6,215.06
2,4098.4,215.04
2,4119.2,215.02
2,4140,215
3,0,254
3,20.804,253.97
3,41.608,253.94
3,62.412,253.91
3,83.216,253.88
3,104.02,253.85
3,124.82,253.82
3,145.63,253.79
3,166.43,253.76
3,187.24,253.73
3,208.04,253.7
3,228.84,253.67
3,249.65,253.64
3,270.45,253.61
3,291.26,253.58
3,312.06,253.55
3,332.86,253.52
3,353.67,253.49
3,374.47,253.46
3,395.28,253.43
3,416.08,253.4
3,436.88,253.37
3,457.69,253.34
3,478.49,253.31
3,499.3,253.28
3,520.1,253.25
3,540.9,253.22
3,561.71,253.19
3,582.51,253.16
3,603.32,253.13
3,624.12,253.1
3,644.92,253.07
3,665.73,253.04
3,686.53,253.01
3,707.34,252.97
3,728.14,252.94
3,748.94,252.91
3,769.75,252.88
3,790.55,252.85
3,811.36,252.82
3,832.16,252.79
3,852.96,252.76
3,873.77,252.73
3,894.57,252.7
3,915.38,252.67
3,936.18,252.64
3,956.98,252.61
3,977.79,252.58
3,998.59,252.55
3,1019.4,252.52
3,1040.2,252.49
3,1061,252.46
3,1081.8,252.43
3,1102.6,252.4
3,1123.4,252.37
3,1144.2,252.34
3,1165,252.31
3,1185.8,252.28
3,1206.6,252.25
3,1227.4,252.22
3,1248.2,252.19
3,1269,252.16
3,1289.8,252.13
3,1310.7,252.1
3,1331.5,252.07
3,1352.3,252.04
3,1373.1,252.01
3,1393.9,251.98
3,1414.7,251.95
3,1435.5,251.92
3,1456.3,251.89
3,1477.1,251.86
3,1497.9,251.83
3,1518.7,251.8
3,1539.5,251.77
3,1560.3,251.74
3,1581.1,251.71
3,1601.9,251.68
3,1622.7,251.65
3,1643.5,251.62
3,1664.3,251.59
3,1685.1,251.56
3,1705.9,251.53
3,1726.7,251.5
3,1747.5,251.47
3,1768.3,251.44
3,1789.1,251.41
3,1809.9,251.38
3,1830.8,251.35
3,1851.6,251.32
3,1872.4,251.29
3,1893.2,251.26
3,1914,251.23
3,1934.8,251.2
3,1955.6,251.17
3,1976.4,251.14
3,1997.2,251.11
3,2018,251.08
3,2038.8,251.05
3,2059.6,251.02
3,2080.4,250.98
3,2101.2,250.95
3,2122,250.92
3,2142.8,250.89
3,2163.6,250.86
3,2184.4,250.83
3,2205.2,250.8
3,2226,250.77
3,2246.8,250.74
3,2267.6,250.71
3,2288.4,250.68
3,2309.2,250.65
3,2330.1,250.62
3,2350.9,250.59
3,2371.7,250.56
3,2392.5,250.53
3,2413.3,250.5
3,2434.1,250.47
3,2454.9,250.44
3,2475.7,250.41
3,2496.5,250.38
3,2517.3,250.35
3,2538.1,250.32
3,2558.9,250.29
3,2579.7,250.26
3,2600.5,250.23
3,2621.3,250.2
3,2642.1,250.17
3,2662.9,250.14
3,2683.7,250.11
3,2704.5,250.08
3,2725.3,250.05
3,2746.1,250.02
3,2766.9,249.99
3,2787.7,249.96
3,2808.5,249.93
3,2829.3,249.9
3,2850.2,249.87
3,2871,249.84
3,2891.8,249.81
3,2912.6,249.78
3,2933.4,249.75
3,2954.2,249.72
3,2975,249.69
3,2995.8,249.66
3,3016.6,249.63
3,3037.4,249.6
3,3058.2,249.57
3,3079,249.54
3,3099.8,249.51
3,3120.6,249.48
3,3141.4,249.45
3,3162.2,249.42
3,3183,249.39
3,3203.8,249.36
3,3224.6,249.33
3,3245.4,249.3
3,3266.2,249.27
3,3287,249.24
3,3307.8,249.21
3,3328.6,249.18
3,3349.4,249.15
3,3370.3,249.12
3,3391.1,249.09
3,3411.9,249.06
3,3432.7,249.03
3,3453.5,248.99
3,3474.3,248.96
3,3495.1,248.93
3,3515.9,248.9
3,3536.7,248.87
3,3557.5,248.84
3,3578.3,248.81
3,3599.1,248.78
3,3619.9,248.75
3,3640.7,248.72
3,3661.5,248.69
3,3682.3,248.66
3,3703.1,248.63
3,3723.9,248.6
3,3744.7,248.57
3,3765.5,248.54
3,3786.3,248.51
3,3807.1,248.48
3,3827.9,248.45
3,3848.7,248.42
3,3869.5,248.39
3,3890.4,248.36
3,3911.2,248.33
3,3932,248.3
3,3952.8,248.27
3,3973.6,248.24
3,3994.4,248.21
3,4015.2,248.18
3,4036,248.15
3,4056.8,248.12
3,4077.6,248.09
3,4098.4,248.06
3,4119.2,248.03
3,4140,248
4,0,292
4,20.804,291.98
4,41.608,291.96
4,62.412,291.94
4,83.216,291.92
4,104.02,291.9
4,124.82,291.88
4,145.63,291.86
4,166.43,291.84
4,187.24,291.82
4,208.04,291.8
4,228.84,291.78
4,249.65,291.76
4,270.45,291.74
4,291.26,291.72
4,312.06,291.7
4,332.86,291.68
4,353.67,291.66
4,374.47,291.64
4,395.28,291.62
4,416.08,291.6
